source,source_object_id,name,type,city,source_url,latitude,longitude,normalized_name,canonical_key
yandex,1244089476,Усть-Каменогорск Отель,hotel,Өскемен,https://yandex.kz/maps/org/ust_kamenogorsk_otel/1244089476/reviews/?ll=82.627174%2C49.954283&z=17,49.954283,82.627174,усть-каменогорск отель,өскемен|hotel|усть-каменогорск отель
yandex,59203902736,City Hotel,hotel,Өскемен,https://yandex.kz/maps/org/city_hotel/59203902736/reviews/?ll=82.597296%2C49.972178&z=17,49.972178,82.597296,city hotel,өскемен|hotel|city hotel
yandex,1116788313,Семей,hotel,Өскемен,https://yandex.kz/maps/org/semey/1116788313/reviews/?ll=82.591384%2C49.975459&z=18,49.975459,82.591384,семей,өскемен|hotel|семей
yandex,1192182763,Shiny River,hotel,Өскемен,https://yandex.kz/maps/org/shiny_river/1192182763/reviews/?indoorLevel=1&ll=82.610295%2C49.954672&z=17,49.954672,82.610295,shiny river,өскемен|hotel|shiny river
yandex,1166317683,Мереке,hotel,Өскемен,https://yandex.kz/maps/org/mereke/1166317683/reviews/?ll=82.606193%2C49.977608&z=18,49.977608,82.606193,мереке,өскемен|hotel|мереке
yandex,142699215802,Гостевой двор Асар,hotel,Өскемен,https://yandex.kz/maps/org/gostevoy_dvor_asar/142699215802/reviews/?ll=82.589481%2C49.962965&z=17,49.962965,82.589481,гостевой двор асар,өскемен|hotel|гостевой двор асар
yandex,115449611008,Sweet Home,hotel,Өскемен,https://yandex.kz/maps/org/sweet_home/115449611008/reviews/?indoorLevel=1&ll=82.613161%2C49.955396&z=17,49.955396,82.613161,sweet home,өскемен|hotel|sweet home
google_maps,0x42eb45bba05c7713:0x92461d68b5b74fc5,Дворец культуры металлургов,cultural_object,Өскемен,"https://www.google.com/maps/place/%D0%94%D0%B2%D0%BE%D1%80%D0%B5%D1%86+%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D1%8B+%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB%D1%83%D1%80%D0%B3%D0%BE%D0%B2/@49.9741105,82.5889653,18z/data=!4m8!3m7!1s0x42eb45bba05c7713:0x92461d68b5b74fc5!8m2!3d49.9741105!4d82.5902528!9m1!1b1!16s%2Fg%2F1tggs25x?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",49.973972,82.589997,дворец культуры металлургов,өскемен|cultural_object|дворец культуры металлургов
