name,city,status,latitude,longitude,matched_name,matched_id
Усть-Каменогорск Отель,Өскемен,from_yandex_url,49.954283,82.627174,,
City Hotel,Өскемен,from_yandex_url,49.972178,82.597296,,
Семей,Өскемен,from_yandex_url,49.975459,82.591384,,
Shiny River,Өскемен,from_yandex_url,49.954672,82.610295,,
Мереке,Өскемен,from_yandex_url,49.977608,82.606193,,
Гостевой двор Асар,Өскемен,from_yandex_url,49.962965,82.589481,,
Sweet Home,Өскемен,from_yandex_url,49.955396,82.613161,,
Дворец культуры металлургов,Өскемен,from_2gis_api,49.973972,82.589997,Дворец культуры металлургов,70030076269602725
